source_type,source_id,edge_type,target_type,target_id
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-QUAL-DEF-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-UI-INV-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-OUT-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-OUT-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-OUT-SPEC-001,depends_on,document,UDQ-SEC-SPEC-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-PROF-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-PROOF-TPL-001,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-PROOF-TPL-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-PROOF-TPL-001,depends_on,document,UDQ-SCM-STD-001
document,UDQ-PROOF-TPL-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-ARCH-NAR-002
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-SIG-SPEC-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-LOG-SPEC-001
document,UDQ-PROT-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-ARCH-NAR-002
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-QUAL-DEF-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-QUAL-SPEC-002,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-QUAL-SPEC-002,depends_on,document,UDQ-GOV-SPEC-005
